City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,airai,-8.9266,125.4092,18.92,85,95,1.14,TL,1674378961
1,bluff,-46.6,168.3333,12.62,66,73,4.53,NZ,1674378962
2,omboue,-1.5746,9.2618,28.27,72,97,1.84,GA,1674378963
3,mehamn,71.0357,27.8492,3.97,75,40,12.86,NO,1674378963
4,trelew,-43.249,-65.3051,21.02,43,30,7.38,AR,1674378964
5,lugazi,0.3772,32.9197,29.87,31,93,1.6,UG,1674378965
6,port alfred,-33.5906,26.891,23.43,92,99,1.34,ZA,1674378966
7,albany,42.6001,-73.9662,-0.77,84,17,0.89,US,1674378627
8,beloha,-25.1667,45.05,33.66,44,2,7.35,MG,1674378967
9,ballarat,-37.5662,143.8496,18.1,68,8,0.89,AU,1674378967
10,sao filipe,14.8961,-24.4956,21.19,62,24,5.29,CV,1674378806
11,tautira,-17.7333,-149.15,26.14,69,100,1.43,PF,1674378968
12,rikitea,-23.1203,-134.9692,26.27,75,38,8.07,PF,1674378969
13,san rafael,-34.6177,-68.3301,22.27,29,1,2.09,AR,1674378969
14,arraial do cabo,-22.9661,-42.0278,20.92,100,20,1.54,BR,1674378970
15,avarua,-21.2078,-159.775,23.03,94,100,1.03,CK,1674378971
16,campo bom,-29.6789,-51.0533,23.5,94,99,1.18,BR,1674378972
17,kavieng,-2.5744,150.7967,27.83,76,100,3.41,PG,1674378972
18,victoria,22.2855,114.1577,22.24,78,62,2.68,HK,1674378168
19,bethel,41.3712,-73.414,1.53,72,100,2.57,US,1674378973
20,punta arenas,-53.15,-70.9167,5.06,75,20,1.54,CL,1674378917
21,caxito,-8.5785,13.6643,30.34,61,99,0.98,AO,1674378974
22,kologriv,58.8275,44.3178,-8.24,93,60,1.41,RU,1674378975
23,east london,-33.0153,27.9116,23.43,91,100,6.48,ZA,1674378726
24,grindavik,63.8424,-22.4338,-2.74,80,75,24.18,IS,1674378976
25,valley station,38.1112,-85.8702,3.06,78,100,0.45,US,1674378977
26,olinda,-8.0089,-34.8553,24.85,88,40,1.54,BR,1674378888
27,cortez,37.3489,-108.5859,-11.28,82,0,4.63,US,1674378978
28,marakkanam,12.2,79.95,28.19,63,72,5.97,IN,1674378800
29,vaini,-21.2,-175.2,26.09,94,20,1.54,TO,1674378979
30,rocky mountain house,52.3668,-114.9188,3.06,75,100,2.57,CA,1674378979
31,padang,-0.9492,100.3543,28.03,84,100,1.53,ID,1674378980
32,puerto ayora,-0.7393,-90.3518,23.08,97,65,1.56,EC,1674378981
33,bredasdorp,-34.5322,20.0403,21.73,65,100,2.73,ZA,1674378982
34,billings,45.7833,-108.5007,-0.13,60,0,6.69,US,1674378982
35,busselton,-33.65,115.3333,30.69,38,0,3.92,AU,1674378983
